Service,Rake Num,Start Station,Start Time,End Station,End Time,Direction,service time,Same Jurisdiction,Step Back Rake,Step Back Location,mergedRakeNum1,mergedRakeNum2
666,742,KKDA DN,10:23,MUPR,10:38,DN,15,yes,No StepBack,No StepBack,580,None
111,722,PVGW DN,10:23,KKDA DN,11:29,DN,66,no,No StepBack,No StepBack,771,772
112,719,KKDA UP,10:24,PVGW UP,11:30,UP,66,no,No StepBack,No StepBack,495,496
667,739,MUPR,10:24,KKDA UP,10:39,UP,15,yes,No StepBack,No StepBack,530,None
426,703,PVGW UP,10:26,PVGW DN,10:59,UP,33,yes,No StepBack,No StepBack,335,864
668,704,KKDA DN,10:27,MUPR,10:42,DN,15,yes,No StepBack,No StepBack,593,None
113,733,PVGW DN,10:28,KKDA DN,11:34,DN,66,no,No StepBack,No StepBack,785,786
669,705,MUPR,10:28,KKDA UP,10:43,UP,15,yes,No StepBack,No StepBack,544,None
114,738,KKDA UP,10:30,PVGW UP,11:36,UP,66,no,No StepBack,No StepBack,508,509
670,743,KKDA DN,10:31,MUPR,10:46,DN,15,yes,No StepBack,No StepBack,607,None
671,741,MUPR,10:32,KKDA UP,10:47,UP,15,yes,No StepBack,No StepBack,557,None
427,713,PVGW UP,10:32,PVGW DN,11:05,UP,33,yes,No StepBack,No StepBack,353,878
115,723,PVGW DN,10:34,KKDA DN,11:39,DN,65,no,No StepBack,No StepBack,799,800
116,715,KKDA UP,10:35,PVGW UP,11:41,UP,66,no,No StepBack,No StepBack,522,523
672,724,KKDA DN,10:35,MUPR,10:50,DN,15,yes,No StepBack,No StepBack,621,None
673,712,MUPR,10:36,KKDA UP,10:52,UP,16,yes,No StepBack,No StepBack,572,None
428,740,PVGW UP,10:37,PVGW DN,11:10,UP,33,yes,No StepBack,No StepBack,360,892
117,735,PVGW DN,10:39,KKDA DN,11:45,DN,66,no,No StepBack,No StepBack,813,814
118,739,KKDA UP,10:39,PVGW UP,11:45,UP,66,no,No StepBack,No StepBack,531,532
674,744,KKDA DN,10:39,MUPR,10:54,DN,15,yes,No StepBack,No StepBack,631,None
675,742,MUPR,10:40,KKDA UP,10:56,UP,16,yes,No StepBack,No StepBack,581,None
429,729,PVGW UP,10:42,PVGW DN,11:15,UP,33,yes,No StepBack,No StepBack,373,902
